op_code;operation;endpoint;score_proxy
ab1;{'admin_get_all_contacts'};{'GET:/api/v1/adminbasicservice/adminbasic/contacts'};{0.17307443404497058}
ab2;{'admin_get_all_prices'};{'GET:/api/v1/adminbasicservice/adminbasic/prices'};{0.16031747699903615}
ao1;{'admin_create_order'};{'POST:/api/v1/adminorderservice/adminorder'};{0.13528016034538054}
ao2;{'admin_get_all_orders'};{'GET:/api/v1/adminorderservice/adminorder'};{0.13951989482701166}
ar1;{'admin_get_all_routes'};{'GET:/api/v1/adminrouteservice/adminroute'};{0.17043551858577463}
as1;{'get_assurance_types'};{'GET:/api/v1/assuranceservice/assurances/types'};{0.32253215167084287}
at1;{'admin_create_travel'};{'POST:/api/v1/admintravelservice/admintravel'};{0.15467726771020385}
at2;{'admin_get_all_travels'};{'GET:/api/v1/admintravelservice/admintravel'};{0.3998401328451683}
au1;{'admin_add_random_user'};{'POST:/api/v1/adminuserservice/users'};{0.03067586181042831}
au2;{'admin_get_all_users'};{'GET:/api/v1/adminuserservice/users'};{0.10478384266127186}
ca1;{'cancel_order'};{'GET:/api/v1/cancelservice/cancel/{orderId}/{loginId}'};{0.21198712021519475}
ca2;{'cancel_refund_order'};{'GET:/api/v1/cancelservice/cancel/refound/{orderId}'};{0.1759782670688049}
co1;{'query_contacts'};{'GET:/api/v1/contactservice/contacts/account/{accountId}'};{0.2644567405428214}
ex1;{'collect_ticket'};{'GET:/api/v1/executeservice/execute/collected/{orderId}'};{0.22041512086139348}
ex2;{'execute_ticket'};{'GET:/api/v1/executeservice/execute/execute/{orderId}'};{0.24334672906580224}
fo1;{'get_food_types'};{'GET:/api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId}'};{0.20903756694185036}
ip1;{'pay_order_other', 'pay_order_hs'};{'POST:/api/v1/inside_pay_service/inside_payment'};{0.2543247320742118}
oh1;{'get_order_information_hs'};{'POST:/api/v1/orderservice/order/refresh'};{0.1398574191017601}
oo1;{'get_order_information_other'};{'POST:/api/v1/orderOtherService/orderOther/refresh'};{0.14006697885018873}
ph1;{'preserve_ticket_hs'};{'POST:/api/v1/preserveservice/preserve'};{0.15401712916565824}
po1;{'preserve_ticket_other'};{'POST:/api/v1/preserveotherservice/preserveOther'};{0.17122118899237948}
th1;{'search_travel_hs_logged', 'search_travel_hs_external'};{'POST:/api/v1/travelservice/trips/left'};{0.3628456555743639}
to1;{'search_travel_other_logged', 'search_travel_other_external'};{'POST:/api/v1/travel2service/trips/left'};{0.4190488022614372}
tp1;{'get_travel_plan'};{'POST:/api/v1/travelplanservice/travelPlan/cheapest'};{0.37719791156725263}
us1;{'admin_login'};{'POST:/api/v1/users/login'};{0.020833842189917805}
